id,title,authors,bookshelves
11,Alice's Adventures in Wonderland,"Carroll, Lewis",Children / Young Adult
12,Through the Looking-Glass,"Carroll, Lewis",Children / Young Adult
16,Peter Pan,"Barrie, J. M.",Children / Young Adult
55,The Wonderful Wizard of Oz,"Baum, L. Frank",Children / Young Adult
113,The Secret Garden,"Burnett, Frances Hodgson",Children / Young Adult
120,Treasure Island,"Stevenson, Robert Louis",Children / Young Adult
236,The Jungle Book,"Kipling, Rudyard",Children / Young Adult
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",Crime Mystery & Thriller
834,The Memoirs of Sherlock Holmes,"Doyle, Arthur Conan",Crime Mystery & Thriller
863,The Mysterious Affair at Styles,"Christie, Agatha",Crime Mystery & Thriller
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",Crime Mystery & Thriller
61262,Poirot Investigates,"Christie, Agatha",Crime Mystery & Thriller
69087,The murder of Roger Ackroyd,"Christie, Agatha",Crime Mystery & Thriller
70114,The Big Four,"Christie, Agatha",Crime Mystery & Thriller
35,The Time Machine,"Wells, H. G.",Science-Fiction & Fantasy
36,The War of the Worlds,"Wells, H. G.",Science-Fiction & Fantasy
84,Frankenstein; Or The Modern Prometheus,"Shelley, Mary Wollstonecraft",Science-Fiction & Fantasy
159,The island of Doctor Moreau,"Wells, H. G.",Science-Fiction & Fantasy
164,Twenty Thousand Leagues under the Sea,"Verne, Jules",Science-Fiction & Fantasy
345,Dracula,"Stoker, Bram",Science-Fiction & Fantasy
68283,The call of Cthulhu,"Lovecraft, H. P.",Science-Fiction & Fantasy
